driver_id,user_id,vehicle_make,vehicle_model,vehicle_year,license_plate,rating,join_date,is_active
370,1198,Nissan,Altima,2020,YVF-6755,4.67,2021-12-05,1
371,1227,Ford,Fusion,2013,ZZT-5699,4.72,2019-10-23,1
372,1494,Mazda,CX-9,2016,HDU-4835,4.36,2021-11-18,1
373,1497,Mazda,CX-5,2019,YNB-0543,4.74,2020-06-03,1
374,570,Chevrolet,Silverado,2021,CQC-6018,4.39,2023-11-07,1
375,1984,Ford,Mustang,2022,LXD-7396,4.5,2019-09-11,1
376,491,Nissan,Altima,2021,JTG-7743,4.03,2023-01-06,0
377,142,Chevrolet,Equinox,2019,GXS-5331,4.37,2023-12-05,1
378,776,Kia,Soul,2016,RXY-7263,3.9,2022-11-04,1
379,1350,Kia,Optima,2016,LHB-0511,4.03,2023-09-04,1
380,323,Chevrolet,Silverado,2016,PDN-5725,4.25,2022-11-09,1
381,143,Toyota,Prius,2014,ZKD-9560,3.92,2019-11-30,0
382,1890,Nissan,Altima,2015,ZCX-9269,3.74,2020-07-23,1
383,458,Kia,Optima,2015,FTX-3902,3.64,2021-04-11,1
384,1939,Toyota,Corolla,2017,XGH-1103,2.83,2021-01-13,0
385,202,Nissan,Altima,2021,KWM-7890,4.55,2022-09-30,1
386,695,Mazda,MX-5,2020,RPY-7845,2.64,2020-12-06,0
387,1427,Kia,Stinger,2013,UWQ-9695,4.31,2023-12-05,1
388,647,Chevrolet,Impala,2018,SPH-5568,4.38,2021-03-04,1
389,1548,Toyota,Camry,2013,QTS-0643,4.07,2023-04-23,1
390,115,Toyota,RAV4,2013,BBS-0857,3.81,2021-03-05,1
391,438,Chevrolet,Silverado,2023,RCP-3530,3.62,2022-08-16,0
392,1183,Nissan,Sentra,2016,NPE-2338,4.61,2022-07-15,1
393,1830,Tesla,Model X,2018,MBU-2073,4.05,2023-08-27,1
394,1993,Subaru,Impreza,2020,XPU-3327,3.54,2020-02-23,1
395,540,Chevrolet,Traverse,2016,VXU-8147,3.17,2021-04-15,0
396,571,Tesla,Cybertruck,2017,FBS-6111,4.94,2023-11-21,1
397,1658,Subaru,Legacy,2019,SMK-7631,4.56,2019-12-22,1
398,1764,Honda,CR-V,2020,VGV-6909,3.66,2022-09-18,1
399,446,Mazda,CX-9,2019,TZD-8159,4.68,2019-06-28,1
400,1933,Nissan,Pathfinder,2014,ZKG-1807,3.58,2022-05-18,1
